,roles,companies,locations,experience,skills
50,Data Scientist,Ltimindtree,"Hybrid - Kolkata, Hyderabad, Chennai",5-10 Yrs,"Data Science, Artificial Intelligence, Machine Learning, Machine, Data, Intelligence, Science"
51,Hiring For data Scientist-Capgemeni-PAn India,Capgemini,"Kolkata, Chennai, Bengaluru",6-11 Yrs,"Azure, Python, AI, ML, Microsoft Azure, Hiring, Artificial Intelligence, Data"
52,Data Scientist,Leading Analytics Consulting Firm,Bengaluru,1-3 Yrs,"Data Science, Predictive Modeling, Statistical Modeling, Machine Learning, Python, R, SAS, Deep Learning"
53,Data Scientist,Product based Booming Unicorn in Internet Space,Bengaluru,2-4 Yrs,"Generative Ai, Python, Image Processing, Natural Language Processing, Computer Vision, Machine Learning, Deep Learning, Data"
54,Data Scientist-Artificial Intelligence,IBM,Hyderabad,3-7 Yrs,"python, machine learning, deep learning, tensorflow, keras, kubernetes, natural language processing, scikit-learn"
55,Generative AI - Data Scientist,Ripik.AI,Noida,1-3 Yrs,"Generative AI, ML Ops, Vid2Seq, PyTorch, OpenCLIP, ViperGPT, LLM prompting, Python"
56,Data Scientist,Kotak Life Insurance,Bengaluru,5-10 Yrs,"software development, presentation skills, data engineering, aws technologies, data governance, advance sql, python, team management"
57,Data Scientist,Paypal,Bengaluru,7-9 Yrs,"Analytical, Finance, Diversity and Inclusion, Customer experience, Management, Business intelligence, Operations, Analytics"
58,Lead Data Scientist - Advanced Machine Learning,Target,Bengaluru,8-10 Yrs,"hive, python, sql, tensorflow, hadoop, kubernetes, algorithms, data analysis"
59,Urgently Hiring - Fraud Data Scientist,Talent Sketchers,"Hyderabad, Bengaluru",3-8 Yrs,"Banking Domain, Fraud Prevention, Data Scientist, Data Analytics, Fraud Detection, Risk Management, Python, SQL"
60,Data Scientist,Entain,Hyderabad,2-5 Yrs,"Operations research, data science, Machine learning, Data collection, Technology solutions, Individual Contributor, Forecasting, SQL"
61,Data Scientist - AI,Standard Chartered Life And Careers,Chennai,3-7 Yrs,"Microstrategy, Data analysis, Change management, Database design, Windows, Stored procedures, Business intelligence, Data mining"
62,Data Scientist- Pytorch/ TensorFlow,UPS Supply Chain Solutions (UPS SCS),"India, India",3-6 Yrs,"python, machine learning, sql, r, operations research, algorithms, data management, statistical techniques"
63,Data Scientist,McCormick,Gurugram,8-13 Yrs,"Supply chain, advanced analytics, Interpersonal skills, data science, Analytical, Machine learning, Automation tools, Data analytics"
64,Data Scientist-Credit Risk,Leading Client,"Mumbai, Delhi / NCR, Bengaluru",2-7 Yrs,"Python, algorithms, risk management, data conversion, data analytics, credit risk, financial services, sql"
65,Data Scientist,Virtana Corp,"Pune, Chennai",8-13 Yrs,"Prototype, Time series analysis, Artificial Intelligence, IT operations management, Machine learning, Cloud, Cash flow, Pattern recognition"
66,Data Scientist,Innova Solutions,"Hybrid - Noida, Hyderabad, Chennai",6-10 Yrs,"Artificial Intelligence, Natural Language Processing, Machine Learning, Deep Learning, Processing, Languages, Process, Machine"
67,Data Scientist,LTI Mindtree,"Hybrid - Hyderabad, Pune, Bengaluru",5-10 Yrs,"Data Science., Artificial Intelligence, Natural Language Processing, RAG, gen ai, Machine Learning, Deep Learning, R programming"
68,Data Scientist,Datamatics Business Solutions,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-9 Yrs,"Computer science, Backend, Version control, Machine learning, Data quality, Business solutions, Monitoring, SQL"
69,DATA SCIENTIST,Sasken Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8-12 Yrs,"Unix, Computer vision, SAS, Machine learning, SCALA, Perl, SPSS, MATLAB"
70,Data Scientist,IBM,Bengaluru,3-6 Yrs,"python, sql, data science, database queries, sql programming, data analysis, data analytics, business analytics"
71,Data Scientist,Visa,Bengaluru,5-9 Yrs,"Computer science, Operations research, Business analytics, Analytical, Predictive modeling, Business solutions, Financial services, Product marketing"
72,Data Scientist-Artificial Intelligence,IBM,Bengaluru,3-7 Yrs,"python, scikit-learn, tensorflow, pytorch, keras, natural language processing, neural networks, predictive"
73,Data Scientist-Artificial Intelligence,IBM,Bengaluru,3-7 Yrs,"python, scikit-learn, tensorflow, pytorch, keras, natural language processing, predictive, pyspark"
74,Data Scientist,Paypal,Chennai,4-7 Yrs,"Analytical, Finance, Diversity and Inclusion, Customer experience, Management, Business intelligence, Operations, Analytics"
75,"Data Scientist, Product, Google Home",Google,Bengaluru,1-4 Yrs,", python, r, natural language processing, data science, machine learning, sql, statistics"
76,Data Scientist,Infosys,"Hybrid - Hyderabad, Chennai, Bengaluru",7-12 Yrs,"Data Science, Python, Azure, GCP, Natural Language Processing, Responsible AI, Machine Learning, AWS"
77,Data Scientist-Artificial Intelligence,IBM,Bengaluru,3-7 Yrs,"python, machine learning, tensorflow, pytorch, keras, kubernetes, github, natural language processing"
78,Data Scientist - 2Openings,R Systems International,Hybrid - Noida,4-8 Yrs,"Data Science, Data Scientist, Artificial Intelligence, Machine Learning, Natural Language Processing, Deep Learning, Processing, Intelligence"
79,"Data Scientist, Product, Google Play",Google,Bengaluru,1-4 Yrs,", scripting, sas, data mining, spss, analysis, statistics, sql"
80,Data Scientist (Generative AI + LLM),CMM Level 5,"Mumbai, Mumbai Suburban",2-5 Yrs,"Generative Ai, Large Language Model, Python, analytics, Machine Learning, Languages, Artificial Intelligence, Machine"
81,Data Scientist-Artificial Intelligence,IBM,Bengaluru,3-7 Yrs,"elastic search, java, code generation, cobol, splunk, targetlink, simulink, data management"
82,Data Scientist-Artificial Intelligence,IBM,Bengaluru,3-7 Yrs,"algorithms, python, data analytics, tableau, ml, hive, data analysis, natural language processing"
83,Data Scientist,Genpact,Bengaluru,5-10 Yrs,"Statistical Modeling, Machine Learning, Python, regression, Linear Regression, ML, Machine, Modeling"
84,Data Scientist - Gen AI,Genpact,"Hybrid - Noida, Gurugram, Bengaluru",8-12 Yrs,"Artificial Intelligence, AWS bedrocks, Azure Machine Learning, Intelligence, Gen, Machine learning, Microsoft Azure, Machine"
85,Data Scientist - Pricing,Peoplefy Infosolutions.,Pune,8-12 Yrs,"Data Science, Pricing, Product Pricing, Pricing Strategy, Pricing Analysis, Pricing Analytics, Data, Analysis"
86,Data Scientist,Wipro,"Hybrid - Pune, Bengaluru, Delhi / NCR",7-12 Yrs,"Regression, Azure Machine Learning, Machine Learning, Python, Timeseries Databases, Pytorch, Xgboost, Arima"
87,Data Scientist,Ramsol,Bhubaneswar,3-11 Yrs,"Data Science, Artificial Intelligence, Natural Language Processing, Machine Learning, Python, Data, Science, Process"
88,Data Scientist,Wipro,Bengaluru,3-5 Yrs,"python, machine learning, deep learning, tensorflow, pytorch, algorithms, continuous integration, charts"
89,"Data Scientist (Python, GenAI)",Capgemini,"Hybrid - Mumbai, Pune, Bengaluru",6-9 Yrs,"Data Science, AI/ML, architect and developer, gen ai, Python, Gen, Ml, Architecture"
90,Data Scientist,Idexcel,"Chennai, Bengaluru",4-8 Yrs,"Pytorch, Natural Language Processing, Machine Learning, Scikit-Learn, Tensorflow, Generative Ai, Retrieval-Augmented Generation, Artificial Intelligence"
91,ML Engineer/Data Scientist,PinSec.Ai,Chennai,2-6 Yrs,"ML Engineer/Data Scientist, Data, Ml"
92,Data Scientist| SQL| Pune,Gryphon Hytech Services,Pune,0-5 Yrs,"Data Science, Machine Learning, SQL, Python, Machine, Data, Science"
93,Data Scientist - L3,Wipro,Bengaluru,2-6 Yrs,"team management, machine learning, deep learning, data science, ml, python, natural language processing, scikit-learn"
94,Data Scientist III,Flutter,Bengaluru,1-6 Yrs,"Computer science, SAN, Machine learning, Healthcare, Product design, Open source, Gaming, Operations"
95,Data Scientist-Artificial Intelligence,IBM,Bengaluru,3-7 Yrs,"tensorflow, pytorch, keras, python, pandas, kubernetes, scikit-learn, android"
96,Data Scientist-Artificial Intelligence,IBM,Bengaluru,3-7 Yrs,"continuous integration, ci/cd, microservices, java, project management, kubernetes, docker, ansible"
97,HR Data Scientist,Solventum,Bengaluru,2-7 Yrs,"Statistical programming, Cloud computing, Data analysis, Data management, HRIS, Business analytics, Analytical, Workforce planning"
98,Data Scientist,Dun & Bradstreet,Remote,4-7 Yrs,"Data Science, Pyspark, Data Modeling, Macroeconomics, SQL, Python, Science, Modeling"
99,Data Scientist,Dun & Bradstreet,Hybrid - Chennai,7-12 Yrs,"Pyspark, Credit Risk, Statistical Modeling, Fraud Analytics, SQL, Python, Statistics, Fraud"
100,Data Scientist,Acenet,"Pune, Gurugram, Bengaluru",5-8 Yrs,"Supply chain, data science, Machine learning, Healthcare, System design, Business strategy, Financial services, SQL"
101,Data Scientist,Xoom,Bengaluru,7-9 Yrs,"Analytical, Finance, Diversity and Inclusion, Wellness, Customer experience, Management, Business intelligence, Operations"
102,Data Scientist,Kyndryl,Bengaluru,10-15 Yrs,"python, c++, transformers, c, data management, natural language processing, mathematics, data mining"
103,Data Scientist,News Corp Australia,Bengaluru,8-13 Yrs,"Automation, Publishing, Data management, GCP, Machine learning, Agile, Scheduling, Scrum"
104,Data Scientist,Ifood Web Media Technology,"Hybrid - Chennai, Bengaluru, Delhi / NCR",4-6 Yrs,"Tensorflow, Tableau, Python, SQL, Data"
105,Full Stack Data Scientist,Terawe Technologies,"Kochi, Bengaluru",5-10 Yrs,"Video Analytics, Image Processing, Text Mining, Machine Learning, Python, Tensorflow, Algorithm Development, Object Detection"
106,Data Scientist (LLM & Generative AI),Swits Digital,Bengaluru,1-10 Yrs,"Training, deep learning, data science, GCP, Machine learning, Cloud, Transformers, AWS"
107,Data Scientist,Nihilent,"Kolkata, Pune, Chennai",7-12 Yrs,"deep learning, GCP, Machine learning, Data, Machine"
108,Principle Data Scientist,Nalco Water,Bengaluru,7-9 Yrs,"Computer science, data science, Machine learning, SCALA, data governance, Technical leadership, Open source, Organization design"
109,Data Scientist,UPL Limited,Bengaluru,3-6 Yrs,"semantic, algorithms, data, nltk, artificial intelligence, deep learning, spacy, tensorflow"
110,Data Scientist-Artificial Intelligence,IBM,Pune,3-7 Yrs,"python, scikit-learn, tensorflow, pytorch, keras, natural language processing, neural networks, predictive"
111,Data Scientist-Artificial Intelligence,IBM,Pune,3-7 Yrs,"python, scikit-learn, tensorflow, pytorch, keras, natural language processing, predictive, pyspark"
112,Data Scientist-Artificial Intelligence,IBM,Gurugram,3-7 Yrs,"python, scikit-learn, tensorflow, pytorch, keras, natural language processing, predictive, pyspark"
113,Data Scientist,Teknuova Solutions,Remote,1-6 Yrs,"Data Science, python, Machine Learning, Machine, Data, Science"
114,Data Scientist,Harman Connected Services Corporation India Pvt.,Bengaluru,5-10 Yrs,"GCP, Neural networks, Artificial Intelligence, Machine learning, Debugging, Agile, Automotive, Monitoring"
115,Data Scientist AI ML Python Modeling Statistical & Data German MNC,German MNC,Bangalore/Bengaluru,3-6 Yrs,"Data Science, Predictive Modeling, Statistical Modeling, Machine Learning, Python, German, Machine, Data"
116,Data Scientist,Devon Software Services,Bengaluru,3-7 Yrs,"Tensorflow, Ai Algorithms, Ml Algorithms, Machine Learning, Python, Pytorch, Model Development, Artificial Intelligence"
117,Fraud Data Scientist,Straive,"Hybrid - Hyderabad, Gurugram, Bengaluru",3-7 Yrs,"Machine Learning, Fraud Detection, Python, SQL, Machine, Fraud, Data"
118,Data Scientist-Artificial Intelligence,IBM,Hyderabad,3-7 Yrs,"elastic search, java, code generation, cobol, splunk, targetlink, simulink, data management"
119,Data Scientist-Artificial Intelligence,IBM,Mumbai,3-7 Yrs,"algorithms, python, data analytics, tableau, ml, hive, data analysis, natural language processing"
120,Data Scientist-Artificial Intelligence,IBM,Mumbai,3-7 Yrs,"python, natural language processing, artificial intelligence, deep learning, ml, continuous integration, data security, scikit-learn"
121,Data Scientist-Artificial Intelligence,IBM,Gurugram,3-7 Yrs,"algorithms, python, data analytics, tableau, ml, hive, data analysis, natural language processing"
122,Data Scientist-Knowledge management science,Amoli Talents,Hybrid - Bengaluru,12-16 Yrs,"python, data science, ecommerce, LLM, sql, AI, Data, Management"
123,Data Scientist,Uplers,Bengaluru,4-9 Yrs,"Pytorch, Data Science, LLMs, Python, TensorFlow, Docker, Neural Networks, Transformers"
124,Data Scientist /Machine Learning Engineer,Hitachi Vantara,Bengaluru,5-8 Yrs,"Machine Learning, Sklearn, NLTK, spaCy, PyTorch, NLP, TensorFlow, Python"
125,Data Scientist - Banking,Straive,"Hybrid - Noida, Gurugram, Bengaluru",3-8 Yrs,"Developing ML Models, Python, SQL, Banking Analytics, Credit Risk, Fraud Analytics, Fraud Detection, Fraud"
126,Data Scientist-Artificial Intelligence,IBM,Mumbai,3-7 Yrs,"python, natural language processing, r, data science, ml, cloudera, scikit-learn, predictive analytics"
127,Data Scientist,Team ware Solutions,Hybrid - Bengaluru,5-9 Yrs,"Data Science, Artificial Intelligence, Machine Learning, Python, Intelligence, Science, Machine, Data"
128,Data Scientist-Artificial Intelligence,IBM,Mumbai,3-7 Yrs,"python, artificial intelligence, sql, data science, ml, cloudera, natural language processing, scikit-learn"
129,Data Scientist,Persistent,"Hyderabad, Bengaluru",5-10 Yrs,"Python, Data Science, GenAI, Data, Science"
130,Data Scientist,Ford,Chennai,4-9 Yrs,
131,Industrial Data Scientist,Exxon Mobil Corporation,Bengaluru,3-8 Yrs,"time series analysis, , natural language processing, data science, data integration tools, programming, statistics, communication skills"
132,Data Scientist-Artificial Intelligence,IBM,Gurugram,3-7 Yrs,
133,Data Scientist,Ford,Chennai,8-13 Yrs,"Supply chain, Db2, Project management, Analytical, Oracle, Continuous improvement, Teradata, Forecasting"
134,Physical Data Scientist,Exxon Mobil Corporation,Bengaluru,3-9 Yrs,
135,Data Scientist,GE,Bengaluru,3-5 Yrs,"python, algorithms, data management, natural language processing, big data technologies, microsoft azure, machine learning, sql"
136,Data Scientist,Merkle Inc,"Pune, Gurugram",2-5 Yrs,"deep learning, Statistical analysis, data science, Machine learning, Stakeholder management, Analytics, SQL, Python"
137,Data Scientist,Futuresoft,New Delhi,3-5 Yrs,
138,Data Scientist,Abbott,Mumbai,3-5 Yrs,"Supply chain, Computer science, Computer vision, Data analysis, Pharma, Machine learning, Debugging, Data collection"
139,Lead Data Scientist - Machine Learning/Artificial Intelligence,Tetrahed,Bengaluru,7-10 Yrs,
140,Data Scientist,Hitachi Energy,Chennai,4-7 Yrs,
141,Lead Data Scientist - Machine Learning/ Artificial Intelligence,Tetrahed,Hybrid - Bengaluru,7-10 Yrs,"Machine Learning, Data Science, Tensorflow, R, Data Scientist, Artificial Intelligence, Data Visualization Tools, Deep Learning"
142,Lead Data Scientist - Machine Learning / Artificial Intelligence,Tetrahed,Bengaluru,7-10 Yrs,"Machine Learning, Data Science, Tensorflow, R, Data Scientist, Artificial Intelligence, Data Visualization, Deep Learning"
143,Data Scientist,Merkle Science,"Pune, Gurugram",2-5 Yrs,"deep learning, Statistical analysis, data science, Machine learning, Stakeholder management, Analytics, SQL, Python"
144,Data Scientist,Nihilent,Bengaluru(Electronic City),5-8 Yrs,
145,Data Scientist,Leading Client,Bengaluru,4-8 Yrs,"Data Science, GenAI, PyTorch, NLP, LLMs, Data visualization, Model evaluation, Computer Vision"
146,Commercial Data Scientist,Exxon Mobil Corporation,Bengaluru,4-9 Yrs,
147,Data Scientist - Data Visualization,Leading Client,Bengaluru,1-2 Yrs,
148,Data Scientist - SCB,Wipro,Chennai,8-10 Yrs,
149,Data Scientist,Capgemini,Mumbai,4-7 Yrs,
150,Data Scientist I,Flutter,Gurugram,1-6 Yrs,"Computer science, SAN, Machine learning, Healthcare, Product design, Open source, Gaming, Operations"
151,Data Scientist,CAI,Karnataka,4-7 Yrs,"generation, advanced analytics, python, data analytics, modeling, analytics services, natural language processing, analytical"
152,Data Scientist,Easebuzz,Pune,3-5 Yrs,"algorithms, python, modeling, data analysis, data analytics, natural language processing, data mining, predictive"
153,Developer - Data Scientist,Medline,Pune,2-7 Yrs,"Computer science, Data analysis, Enterprise applications, GCP, Analytical, Machine learning, model development, data visualization"
154,Data Scientist,Amgen Inc,Hyderabad,3-7 Yrs,"python, predictive analytics, machine learning algorithms, statistics, ml, data analysis, data analytics, sas"
155,Data Scientist,Thirdeye Data Inc.,"Hybrid - Kolkata, Hubli",2-5 Yrs,"python, Azure Functions, Natural Language Processing, Azure Cloud Services, Machine Learning, Computer Vision, Deep Learning, Azure Cloud"
156,Data Scientist,Enflux,Remote,3-7 Yrs,"Product engineering, LMS, Machine learning, SIS, Econometrics, AWS, Statistics, Analytics"
157,Developer - Data Scientist,Medline,Pune,1-3 Yrs,"Computer science, Data analysis, Enterprise applications, GCP, Analytical, Machine learning, model development, data visualization"
158,Data Scientist in AI,Husqvarna Group,Mumbai,5-6 Yrs,"Direct sales, Computer science, Operations research, GIT, Machine learning, Cloud, Manager Technology, Wellness"
159,Data Scientist,Callaway Digital Technologies,Hybrid - Hyderabad,6-9 Yrs,"Statistical Modeling, Machine Learning, Python, Data Visualization, Azzure, R Program, SQL, Program"
160,Data Scientist For DMAI,Prodapt Solutions,Chennai,6-11 Yrs,"project management, data analysis, machine learning, sql, statistical modeling, algorithms, python, big data technologies"
161,Hiring For Python Developer AI ML ( Data Scientist ),Motivity Labs,Hyderabad,6-11 Yrs,"Artificial Intelligence, Python Development, Machine Learning, Generative Artificial Intelligence, Cloud, SQL, Ml, Python"
162,Data Scientist,Xoom,Chennai,4-7 Yrs,"Analytical, Finance, Diversity and Inclusion, Wellness, Customer experience, Management, Business intelligence, Operations"
163,HCL - Data Scientist,Fusion Plus Solutions,Hyderabad,3-6 Yrs,"Supply chain management, Version control, GIT, Analytical, Machine learning, Predictive modeling, Manager Quality Control, Operations"
164,Data Scientist,GM Analytics Solutions,Gurugram(Cyber City),3-8 Yrs,"Predictive Modeling, Logistic Regression, Data Analysis, Machine Learning, Random Forest, Chaid, SQL Queries, Decision Trees"
165,Data Scientist,Infovision Labs,"Hybrid - Hyderabad, Chennai",8-13 Yrs,"Artificial Intelligence, Machine Learning, Natural Language Processing, Processing, Languages, Process, Machine, Data"
166,Data Scientist (Artificial Intelligence),Suzva Software Technologies,Mumbai,5-9 Yrs,"Data Science, GenAI, Java, Azure, NLP, Artificial Intelligence, LLM, Python"
167,Data Scientist,Tekone It Services,Indore,4-7 Yrs,"python, machine learning, sql, r, statistics, algorithms, data analytics, natural language processing"
168,Data Scientist,Tech Vedika Software,Hyderabad,6-10 Yrs,"Computer science, Front end, SAS, Machine learning, Javascript, HTML, Open source, Data mining"
169,Data Scientist- Deep Learning & Model Building,Axtria,"Hybrid - Noida, Gurugram, Delhi / NCR",4-9 Yrs,"Natural Language Processing, Model Building, Deep Learning, Process, Languages, Data, Processing, Building"
170,Data Scientist,Continuity 1,"Pune, Mumbai (All Areas)",7-10 Yrs,"Python, Algo, Machine Learning, Machine, Algorithms, Data"
171,Data Scientist,Talastra Hr Consultants,Hybrid - Pune,6-11 Yrs,"R, Cosmos DB, Python, AI algorithms, MongoDB, Tensorflow, Rex, Data mining"
172,Data Scientist,Phonepe,Bengaluru,0-7 Yrs,"Computer science, Computer vision, Version control, GIT, Analytical, Machine learning, Data processing, Financial services"
173,Data Scientist,Bespoke Technologies,Hybrid - Bengaluru,3-8 Yrs,"Python, SQL, Tensorflow, Azure Cloud, Pandas, Scikit, Flask, Microsoft Azure"
174,Shiny Developer (Data Scientist),Perficient,"Hybrid - Hyderabad, Chennai, Bengaluru",3-8 Yrs,"rshiny, shiny, r programming, R, R Program, Programming, Program, Data"
175,Data Scientist,Famapp,Bengaluru,11-16 Yrs,"data science, Financial inclusion, GCP, Machine learning, Data mining, Open source, Forecasting, Financial services"
176,Hybrid Job Opportunity as Data Scientist,Emagine,Bengaluru,3-7 Yrs,"python, tableau, concepts, probability, sql, communication skills, statistics, As"
177,Hybrid Job Opportunity as Data Scientist For AI products,Emagine,Bengaluru,3-7 Yrs,", python, tableau, power bi, azure devops, sql, communication skills, statistics"
178,AI and Data Scientist Engineer,Coreehs,Pune(Hinjewadi Phase 1),3-8 Yrs,"Hadoop, Tableau, AI/ML Tools, Spark, Python, Java, Matplotlib, Azure"
179,Gen AI/ ML Data Scientist,A Leading Analytics Firm,"Chennai, Delhi / NCR",5-8 Yrs,"Tensorflow, Gen AI, Natural Language Processing, Machine Learning, Python, Pytorch, Processing, Languages"
180,Data Scientist For AI products,Emagine,Bengaluru,5-7 Yrs,", python, tableau, power bi, azure devops, sql, communication skills, statistics"
