,roles,companies,locations,experience,skills
98,Data Scientist,LTI Mindtree,"Hybrid - Hyderabad, Pune, Bengaluru",5-10 Yrs,"Data Science., Artificial Intelligence, Natural Language Processing, RAG, gen ai, Machine Learning, Deep Learning, R programming"
99,Data Scientist - L3,Wipro,Pune,2-5 Yrs,"team management, machine learning, deep learning, data science, ml, python, natural language processing, scikit-learn"
100,Data Scientist,NCR Corporation,Gurugram,10-15 Yrs,"Data Science, Maven, Azure, Data Engineering, GitHub, OLAP, Jenkins, DevOps"
101,Technical Specialist - Data Scientist,"NTT DATA, Inc.",New Delhi,2-5 Yrs,"data analysis, data mining, machine learning, deep learning, data visualization, python, cyber security, scala"
102,"Distinguished, Data Scientist",Walmart,Chennai,2-7 Yrs,"System architecture, Version control, Publishing, Networking, Machine learning, Data processing, Information technology, Analytics"
103,Data Scientist,Morningstar,Mumbai,8-13 Yrs,"Financial planning, Intellectual property, Troubleshooting, Forecasting, Operations, Analytics, Product support, SQL"
104,Data Scientist,IBM,Kochi,4-12 Yrs,"Data Science, Decision Tree, Machine Learning, Python, Random Forest, Forest, Machine, Data"
105,Walkin Drive_ Data Scientist (GENAI)_12th April 25_ Noida Location,Hexaware Technologies,Hybrid - Noida,4-9 Yrs,"genAI, Natural Language Processing, GenerativeAI, Transformers, Python, Data scientist, Langchain, Cloud Services"
106,Senior Machine Learning Engineer / Data Scientist,Harmony Data Integration Technologies,Mohali,5-10 Yrs,"Machine Learning, Data Science, Engineering, Ultralytics YOLO, PyTorch, OpenCV, Vertex AI, CI/CD"
107,Data Scientist,MNC IT Consullting firm,Delhi / NCR,4-9 Yrs,"Machine Learning, Python, Data Science, Data Scientist, Natural Language Processing, AWS, SQL, Ml"
108,Data scientists,Mirafra,Bengaluru,8-10 Yrs,"Data science, Data analysis, Data scientists, machine learning, statistical analysis, data collection, Analysis, Collections"
109,Data Scientist - NLP/Gen AI,Tiger Analytics,"Hyderabad, Chennai, Bengaluru",4-8 Yrs,"Data Science, Gen AI, Python, NLP, RAG, Bert, LLM, Gen"
110,Data Scientist - Gen AI,Tiger Analytics,"Hyderabad, Chennai, Bengaluru",4-7 Yrs,"Data scientist, Gen AI, RAG, LLM, Python, Data Science, Generative AI, ChatGPT"
111,Data Scientist,Infiniti Research,Hybrid - Bengaluru,4-8 Yrs,"Data Science, Retail Analytics, Machine Learning, Python, SQL, Machine, Data, Science"
112,Data Scientist,Valuelabs,"Indore, Hyderabad, Bengaluru",8-13 Yrs,"Data Science, GenAI, Generative AI, Artificial Intelligence, LLM, Natural Language Processing, Python, Data"
113,Data Scientist,Leading Client,Bengaluru,3-8 Yrs,"Data Science, data management, data analysis, Data Scientist, data research, Analysis, Management, Data"
114,Data Scientist,Leading Client,Bengaluru,2-7 Yrs,"Data Science, GenAI, PyTorch, natural language processing, Langchain, ChatGPT, HuggingFace, FastAPI"
115,Data Scientist,GKM It,Udaipur(Shobhagpura),3-7 Yrs,"Data Science, Machine Learning, Deep Learning, Python, SQL, Tensorflow, Machine, Data"
116,"Data Scientist, Sales",Global Industrial,Mumbai,3-7 Yrs,"Training, Sales, Business analytics, Genetics, private label, Material handling, CRM, Salesforce"
117,AI/ML/Gen AI Data Scientist,Tekdi Technologies,Pune,5-6 Yrs,"Neural networks, Artificial Intelligence, Machine learning, Agile, Natural language processing, Open source, Information technology, Forecasting"
118,Data Scientist,Vakilsearch,Chennai,4-8 Yrs,"Data Science, Data Scientist, Artificial Intelligence, Data Management, Data Visualization, Data Analytics, Machine Learning, Statistics"
119,Data Scientist,JLL,Gurugram,3-7 Yrs,"Cloud computing, Data analysis, Data management, Analytical, Machine learning, Data quality, Investment management, commercial real estate"
120,Forecasting Data Scientist,Mondelez,Remote,3-7 Yrs,"Business process, Data analysis, C++, Manager Quality Assurance, Coding, Javascript, FMCG, Data mining"
121,Data Scientist,Pitney Bowes (PBI),Noida,3-4 Yrs,"Computer science, C++, Operations research, Data management, Analytical, Machine learning, Data mining, Business intelligence"
122,Data Scientist,Celebal Technologies,,,"Classical Machine Learning, Deep Learning, Time Series, Tensorflow, Ann, Pyspark, Cnn, Generative Ai"
123,Hiring - Data Scientist - Columbus Global - Hyderabad,Columbus Global,Hybrid - Hyderabad/Secunderabad,6-8 Yrs,"Python, Data Science, Pyspark, Gen AI, Artificial Intelligence, Hadoop, Azure Machine Learning, Machine Learning"
124,Data Scientist,Numerator,Remote,2-5 Yrs,"R, GIT, Data Science, Regression, Data Modeling, Shiny, Machine Learning, Analytics"
125,Data Scientist,Customer Centria,Mumbai (All Areas),3-4 Yrs,"SQL, Python, Predictive Modeling, marketing analytics, Customer Analytics, Data, Predictive, Marketing"
126,Data Scientist,Crisil,"Hyderabad, Chennai",8-13 Yrs,"Data analysis, GIT, Version control, Machine learning, Cloud, power bi, data visualization, Financial services"
127,Data Scientist,Phonepe,Bengaluru,0-7 Yrs,"Computer science, Computer vision, Version control, GIT, Analytical, Machine learning, Data processing, Financial services"
128,Senior Data Scientist (Artificial Intelligence Machine Learning),FIS,Hybrid - Pune,4-6 Yrs,"Data Science, Artificial Intelligence, Machine Learning, Intelligence, Machine, Data, Science, Senior"
129,Data Scientist,Chevron India,Bengaluru,10-15 Yrs,"data science, algorithms, Artificial Intelligence, Advanced Analytics, Machine Learning, Model Development, Python, Data"
130,"Data Scientist, Advanced",Antuit,Bengaluru,8-12 Yrs,"Computer science, Automation, Version control, Coding, GCP, Machine learning, Workflow, Monitoring"
131,Data Scientist,Rmsi,Noida,3-5 Yrs,"Data Science, climate, Machine Learning, Machine, Data, Science"
132,Data Scientist,Analytical Wizard,Hybrid - Bengaluru,1-3 Yrs,"Healthcare Analytics, Market Mix Modelling, Patient Analytics, Python, SQL, Patient care, Data, Healthcare"
133,Data Scientist,Acenet,"Pune, Gurugram, Bengaluru",3-5 Yrs,"Supply chain, Simulation, Machine learning, Healthcare, Analytics, Financial services, SQL, Python"
134,Data Scientist - Gen AI,XA Group,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-6 Yrs,"Automation, Backend, Product engineering, orchestration, Debugging, Machine learning, System design, Transformers"
135,Data Scientist,Applied Data Finance,"Hyderabad, Chennai, Bengaluru",1-3 Yrs,"python, Power BI, mysql, Tableau, machine learning, SQL, Bi, Machine"
136,RGM Data Scientist,Acenet,"Pune, Gurugram, Bengaluru",5-8 Yrs,"Supply chain, Data analysis, Analytical, Demand forecasting, Healthcare, Business strategy, Fund raising, consumer goods"
137,Data Scientist,Innominds Software,"Hyderabad, Pune, Bengaluru",4-9 Yrs,"Generative AI, Artificial Intelligence, rag, Machine Learning, AWS, Data Science, Python, Data"
138,Data Scientist,Siemens Healthcare,Bengaluru,8-13 Yrs,"Supply chain management, Operations research, data science, Time series analysis, Analytical, Machine learning, Mathematics, Management"
139,Data Scientist - Gen AI VBA,Ltimindtree,"Hybrid - Hyderabad, Pune, Bengaluru",3-5 Yrs,"Adobe Acrobat, Generative AI, Prompt Engineer, VBA, Python, Advanced Excel, Gen, Excel"
140,Data Scientist(GEN AI LLM),Course5 Intelligence,"Hybrid - Gurugram, Bengaluru, Mumbai (All Areas)",2-5 Yrs,"Generative Ai, LLM, Python, Fine Tuning, Deployment, Model Development, Data, Performance"
141,Data Scientist - Gen AI,Ltimindtree,"Hybrid - Hyderabad, Pune, Bengaluru",6-8 Yrs,"Generative AI, PyTorch, RAG, LLM, Python, Gen, Data, Artificial Intelligence"
142,Data Scientist,Rarr Technologies,"Kolkata, Hyderabad, Bengaluru",8-12 Yrs,"Azure Cloud, Aiml, Machine Learning, Microsoft Azure, Machine, Cloud, Data"
143,Data Scientist - Gen AI,Xpress Automation,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-6 Yrs,"Automation, Backend, Product engineering, orchestration, Debugging, Machine learning, System design, Transformers"
144,Data Scientist,Nityo Infotech,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",13-18 Yrs,"Computer science, Cloud computing, C++, Analytical, Machine learning, SCALA, data privacy, data visualization"
145,Data scientist -1,Rarr Technologies,Bengaluru,1-2 Yrs,"Computer science, Analytical skills, Computer vision, deep learning, data science, spark, Machine learning, big data"
146,Data Scientist,Austere Systems,"Pune, Gurugram, Bengaluru",8-12 Yrs,"Bigquery, Ab Testing, Machine Learning, SQL, Python, GCP, Software testing, Machine"
147,Data Scientist,Leading Client,Gurugram,3-5 Yrs,"Power BI, Data Science, data management, Data Analysis, Data Collection, Data Modeling, data visualization, Modeling"
148,Data Scientist,Leading Client,Mumbai,3-8 Yrs,"Data Science, SAS, Machine Learning, Python, Science, Machine, Data"
149,Urgently Hiring - Fraud Data Scientist,Talent Sketchers,"Hyderabad, Bengaluru",3-8 Yrs,"Data Scientist, regulatory compliance, Data Analytics, risk assessment methodologies, fraud detection software, risk management, fraud prevention, SQL"
150,Data Scientist,Product Based,"Hyderabad, Pune",8-12 Yrs,"Data Science, Statistical Modeling, Machine Learning, Python, Model Building, Model Development, Machine, Science"
151,Opening For Data Scientist | MNC,Service based Top B2C/B2B MNC in Analytics Domain,"Hybrid - Pune, Bengaluru, Delhi / NCR",6-10 Yrs,"data science, python, Natural Language Processing, Neural Networks, Computer Vision, Machine Learning, Deep Learning, sql"
152,Hiring For Data Scientist-Tech M-PAN India,Tech M,"Kolkata, Chennai, Bengaluru",5-10 Yrs,"Data Science, Azure Machine Learning, Data Bricks, Microsoft Azure, Bricks, Machine learning, Science, Machine"
153,Data Scientist,Opportunity with the Strategy & Consulting wing of Top MNC,"Hybrid - Pune, Gurugram, Bengaluru",4-9 Yrs,"Data Science, Supply Chain Analytics, Artificial Intelligence, Data Analytics, Machine Learning, Supply Chain, Machine, Science"
154,"Data Scientist I, FinTech",Uber,Hyderabad,0-5 Yrs,"python, modeling, natural language processing, forecasting, neural networks, anomaly detection, data pipeline, machine learning"
155,Data Analyst/Data Scientist,Turing Global India,Remote,0-5 Yrs,"Computer science, deep learning, data science, Coding, Artificial Intelligence, Machine learning, Data processing, Data Analyst"
156,Data Scientist,Myntra,Bengaluru,0-5 Yrs,"Supply chain, Computer vision, Operations research, data science, Neural networks, Machine learning, Data structures, Natural language processing"
157,Data Scientist,Metlife,Hyderabad,4-8 Yrs,"Predictive Modeling, Machine Learning, Deep Learning, Data Science, Statistical Modeling, Tensorflow, Logistic Regression, Decision Tree"
158,Data Scientist,Anantara Solutions,Remote,3-8 Yrs,"Supervised Learning, Glm, Unsupervised Learning, Machine Learning, Random Forest, Forest, Supervision, Machine"
159,Data Scientist,Aventior Digital,Pune,3-6 Yrs,"Data Science, Artificial Intelligence, Computer Vision, Machine Learning, Computer, Vision, Intelligence, Data"
160,Data Scientist - Pytorch/ TensorFlow,UPS Supply Chain Solutions (UPS SCS),Hybrid - Mumbai,3-6 Yrs,"Pytorch, Java, C++, R, Cloud-AI technologies, TensorFlow, SQL, Python"
161,Data Scientist,Vitric Business Solutions,Pune(Viman Nagar),9-14 Yrs,"Data Science, Gen AI, Natural Language Processing, Machine Learning, Deep Learning, People Management, Stakeholder Management, Python"
162,Data Scientist,Euclid Innovations,Hyderabad,8-13 Yrs,"Version control, Machine learning, Data processing, Deployment, Management, Fraud detection, Financial services, Monitoring"
163,Data Scientist,Virtual Tech Gurus,Remote,4-8 Yrs,"python, modeling, natural language processing, mathematics, neural networks, predictive, machine learning, data engineering"
164,Data Scientist,Qylis Cloud Data & Cyber Security Services,Hyderabad(Gachibowli),5-7 Yrs,"Fast Api, LLM, Python, Azure Cloud, SQL, API, Microsoft Azure, Cloud"
165,Data Scientist,Deets Digital,Ahmedabad,2-5 Yrs,"Machine Learning, Tensorflow, Pandas, Scikit-Learn, Python, Machine, Data"
166,Data Scientist,Tencys Systems,Bhubaneswar,3-7 Yrs,"Azure Machine Learning, Data Science, Operational Efficiency, Azure ML SDK, Microsoft Azure, Ml, Machine learning, Science"
167,Data Scientist - ML / AI - RCM Knowledge,4D Global,Chennai(Ekkaduthangal),3-8 Yrs,"Artificial Intelligence, Machine Learning, Data Science, Javascript, RCM, Python, Ml, Intelligence"
168,Data Scientist - Recommender Systems,DAZN,Hyderabad,3-8 Yrs,"Recommender Systems, LLM, Ai Algorithms, Data, Algorithms, Artificial Intelligence, System"
169,Data Scientist - Contract,World Wide Technology,Remote,5-10 Yrs,"Data Science, deep learning, data analysis, Ai Techniques, machine learning, python, Data, Contracts"
170,Data Scientist - Pharma Domain (Time-Series Forecasting),Knowledge Foundry,Pune,5-8 Yrs,"Data Science, Time-Series Forecasting, Statistical Modeling, Time Series, Clinical Data, Predictive Modeling, Forecasting Model, Statistics"
171,Data Scientist,Callaway Digital Technologies,Hybrid - Hyderabad,6-9 Yrs,"Statistical Modeling, Machine Learning, Python, Data Visualization, Azzure, R Program, SQL, Statistics"
172,Data Scientist,Vionsys It Solutions India,Pune,2-3 Yrs,"NoSQL, Machine learning, SCALA, Data quality, data visualization, Forecasting, Monitoring, SQL"
173,Data Scientist IV - Python/LLM,Sadup Soft,Hyderabad,6-8 Yrs,"Python, Data Science, BigQuery, Big Query analytics, Data Scientist, Data Management, Jupyter, LLM"
