,roles,companies,locations,experience,skills
39,Data Scientist,Caterpillar Inc,Chennai,8-13 Yrs,"Basic, Manager Quality Assurance, Data management, Analytical, Machine learning, Programming, data visualization, Data mining"
40,Data Scientist - L3,Wipro,Bengaluru,3-6 Yrs,"data analysis, machine learning, deep learning, data science, ml, python, natural language processing, scikit-learn"
41,Data Scientist III,Walmart,Bengaluru,6-11 Yrs,"Procurement, System architecture, ERP, Architecture, Coding, Machine learning, Open source, Information technology"
42,DATA SCIENTIST III,Walmart,Bengaluru,1-7 Yrs,"Publishing, Networking, data science, Artificial Intelligence, Machine learning, SEZ, Forecasting, Information technology"
43,Data Scientist | Sutherland | Chennai,Sutherland,Hybrid - Chennai,7-12 Yrs,"data scientist, Machine Learning, Data Analytics, Machine, Data, Analytics"
44,Data Scientist,Automotive Mahindra,Mumbai,2-4 Yrs,"Computer vision, deep learning, data science, Data modeling, Manager Technology, Regulatory compliance, Data quality, big data"
45,Data Scientist,Valuelabs,"Hybrid - Hyderabad, Bengaluru, Mumbai (All Areas)",7-12 Yrs,"Generative AI, Natural Language Processing, Machine Learning, AWS, Python, Artificial Intelligence, Deep Learning, Processing"
46,Data Scientist- Supply Chain Operations,Allegis Group,Bengaluru,10-19 Yrs,"Data Science, Supply Chain Analytics, Machine Learning, Python, SQL, Tableau, Machine, Supply chain operations"
47,Data Scientist,JLL Technologies,Gurugram,3-8 Yrs,"Cloud computing, Data analysis, Data management, Analytical, Machine learning, Data quality, Investment management, commercial real estate"
48,Data Scientist - Gen AI,Genpact,"Hybrid - Noida, Gurugram, Bengaluru",8-12 Yrs,"Artificial Intelligence, AWS bedrocks, Azure Machine Learning, Gen, Machine, Machine learning, Microsoft Azure, Data"
49,Data Scientist,Infosys,Bengaluru,9-11 Yrs,"business acumen, data science, model development, machine learning algorithms, statistics, continuous integration, snowflake, python"
50,Data Scientist,Wildnet Technologies,Bengaluru,3-8 Yrs,"Data Science, Artificial Intelligence, Machine Learning, Aiml, Big Data, Machine, Science, Data"
51,Data Scientist,Witlance Solutions,"Pune, Bengaluru",6-9 Yrs,"Machine Learning, EDA, ML, Python, SQL, Machine, Data"
52,Data Scientist,Caterpillar Inc,Chennai,4-8 Yrs,"Basic, Manager Quality Assurance, Data management, Analytical, Machine learning, Programming, data visualization, Data mining"
53,Gen AI Architect (Data Scientist),Indium Software,Bengaluru,8-13 Yrs,"Data Science, Gen, Artificial Intelligence, Python, Ai Algorithms, Django, Rest Api Services, Ml"
54,Data Scientist,Leading Client,Mumbai,3-8 Yrs,"Data Science, Google Cloud Platform, Hugging Face Transformers, NLP techniques, statistical modelling, OpenAI APIs, Python, SQL"
55,Pune || Data Scientist || 4+ Years,Globallogic,Pune,3-5 Yrs,"python, data analytics, modeling, scikit-learn, predictive analytics, predictive, microsoft azure, aiml"
56,Walkin Drive_ Data Scientist (GENAI)_19th April 25_ Pune Location,Hexaware Technologies,Hybrid - Pune,4-9 Yrs,"GenAI, Generative AI, Natural Language Processing, Data Science, Python, Azure, Artificial Intelligence, Machine Learning"
57,Data Scientist,Apps Associates,Gurugram,5-7 Yrs,"Natural Language Processing, NoSQL databases, AWS SageMaker, Step Functions, Lambda, API Gateway, SQL, Process"
58,Data Scientist - Machine Learning,EzeiaTech,Gurugram,2-6 Yrs,"Machine Learning, Data Science, EDA, Data Analysis, statistical modeling, Data Visualization, Statistical Analysis, Machine"
59,"Data Scientist, Sales",Global Industrial,Mumbai,3-7 Yrs,"Training, Sales, Business analytics, Genetics, private label, Material handling, CRM, Salesforce"
60,AI/ML/Gen AI Data Scientist,Tekdi Technologies,Pune,5-6 Yrs,"Neural networks, Artificial Intelligence, Machine learning, Agile, Natural language processing, Open source, Information technology, Forecasting"
61,Data Scientist,Wcities,Remote,4-8 Yrs,"python, data mining, machine learning, artificial intelligence, data analysis, Generative AI, LangChain, Hugging Face"
62,Data Scientist,Numerator,Remote,2-5 Yrs,"R, GIT, Data Science, Regression, Data Modeling, Shiny, Machine Learning, Analytics"
63,Data Scientist - Phd only,Anurag Electronic Gujarat,Mumbai,0-2 Yrs,"Natural Language Processing, Phd, Deep Learning, Data Science, Languages, Processing, Data, Science"
64,Data Scientist,A Client of Sarthee Consultancy,"Ahmedabad, Ankleshwar, Vadodara",5-9 Yrs,"Data Science, MySQL, Jenkins, Docker, PostgreSQL, MongoDB, AI experience, Python"
65,Data Scientist,UPL Limited,Bengaluru,3-6 Yrs,"advanced analytics, python, exploration, data analysis, access, analytical, scala, mathematics"
66,Data Scientist,Capgemini,Hybrid - Bengaluru,6-9 Yrs,"Data Science, Pyspark, Data Bricks, Python, SQL, Bricks, Data, Science"
67,Data Scientist - AI/ML Job,Yash Technologies,Hyderabad,2-4 Yrs,"Business transformation, Analytical, Machine learning, Agile, Manager Technology, Deployment, Python, Technology"
68,Data Scientist,R Systems International,Pune,3-8 Yrs,"Data Science, EXCEL, AI/ML, ML Models, Python, SQL, Data, Ml"
69,Data Scientist- GenAI,Wipro,Bengaluru,2-5 Yrs,"natural language processing, dl, aiml, artificial intelligence, ml, algorithms, python, gpm"
70,Data Scientist,Hindustan Unilever (HUL),Bengaluru,3-4 Yrs,"Computer science, Data analysis, Data management, SAS, User interface designing, Data modeling, Analytical, Machine learning"
71,Data Scientists,Capgemini,Bengaluru,4-6 Yrs,"python, machine learning, sql, tableau, data integration tools, deploying models, natural language processing, scikit-learn"
72,Data Scientist,Ericsson,"Hybrid - Noida, Kolkata, Bengaluru",8-12 Yrs,"Deployment, Python Development, Machine Learning, Statistics, Deep Learning, Pyspark, SQL, Data"
73,Data Management - Data Scientist,EY,Bengaluru,3-4 Yrs,"Data analysis, ERP, Data management, Analytical, Consulting, Machine learning, Business solutions, Forecasting"
74,Data Scientist,Merkle Inc,Bengaluru,8-13 Yrs,"Cloud computing, Version control, Machine learning, Cloud, Data processing, Natural language processing, Project delivery, Forecasting"
75,Data Scientist,Capgemini,"Bengaluru, Delhi / NCR, Mumbai (All Areas)",6-9 Yrs,"Cnn, Lstm, Machine Learning, Deep Learning, Python, Machine, Data"
76,Data Scientist,Wipro,"Hybrid - Hyderabad, Pune, Bengaluru",6-9 Yrs,"Natural Language Processing, Dl, Machine Learning, Mistral, Python, Tensorflow, Vector db, Azure/GCP/Lambda"
77,Clinical Data Scientist,AstraZeneca India Pvt. Ltd,Bengaluru,1-5 Yrs,"Computer science, Basic, Data analysis, Change management, Access management, Healthcare, Monitoring, System administration"
78,Data Scientist - Digital Solutions,Siemens,Bengaluru,5-8 Yrs,"software development, Azure, AzureML, Docker, MLOps framework, Scikit-learn, TensorFlow/Keres, Kubernetes"
79,"Data Scientist, Advanced",Zebra Technologies,Bengaluru,3-7 Yrs,"continuous integration, pruning, cd, kubernetes, python, natural language processing, ci/cd, engineering"
80,Data Scientist with Gen AI experience,Colan Infotech,"Chennai, Bengaluru",5-8 Yrs,"Data Science, Artificial Intelligence, Machine Learning, Deep Learning, Decision Tree, SARIMA, ARIMA, Prophet for forecasting"
81,Data Scientist,Maximus,Hybrid - Bengaluru,7-9 Yrs,"EDA, Data Science, Data Visualization, Data Modeling, statistical analysis, Tensorflow, Predictive Modeling, Exploratory Data Analysis"
82,Data Scientist,Chevron India,Bengaluru,10-15 Yrs,"data science, algorithms, Artificial Intelligence, Advanced Analytics, Machine Learning, Model Development, Python, Data"
83,Data Scientist (NLP),Uplers,Remote,5-10 Yrs,"Data Science, Pyspark, Databricks, Python, Azure, NLP, Large Language Models, Natural language processing"
84,Data Scientist - Stats,Course5 Intelligence,"Hybrid - Gurugram, Bengaluru, Mumbai (All Areas)",3-6 Yrs,"Data Science, Regression, Ml Algorithms, Python, SQL, Azure, GCP, Natural Language Processing"
85,Data Scientist,Swift Staffing,"Hyderabad, Chennai, Bengaluru",9-14 Yrs,"Data Science, Chatbot, Aiml, Data, Science"
86,Data Scientist,"Commonwealth Bank of Australia, India",Bengaluru,7-9 Yrs,"Data Science, Gen AI, NLP, Python, ML, Natural Language Processing, Machine Learning, SQL"
87,Data Scientist,IT service company,"Bangalore Rural, Bengaluru",8-12 Yrs,"Maritime, Predictive Modeling, Tensorflow, Pytorch, Data Visualization, data scientist, Data analytics, Machine Learning"
88,Data Scientist,LTI Mindtree,"Hybrid - Hyderabad, Pune, Bengaluru",5-10 Yrs,"Data Science., Artificial Intelligence, Natural Language Processing, RAG, gen ai, Machine Learning, Deep Learning, R programming"
89,Data Scientist - L3,Wipro,Pune,2-5 Yrs,"team management, machine learning, deep learning, data science, ml, python, natural language processing, scikit-learn"
90,Data Scientist,NCR Corporation,Gurugram,10-15 Yrs,"Data Science, Maven, Azure, Data Engineering, GitHub, OLAP, Jenkins, DevOps"
91,Technical Specialist - Data Scientist,"NTT DATA, Inc.",New Delhi,2-5 Yrs,"data analysis, data mining, machine learning, deep learning, data visualization, python, cyber security, scala"
92,"Distinguished, Data Scientist",Walmart,Chennai,2-7 Yrs,"System architecture, Version control, Publishing, Networking, Machine learning, Data processing, Information technology, Analytics"
93,Data Scientist,Morningstar,Mumbai,8-13 Yrs,"Financial planning, Intellectual property, Troubleshooting, Forecasting, Operations, Analytics, Product support, SQL"
94,Data Scientist,IBM,Kochi,4-12 Yrs,"Data Science, Decision Tree, Machine Learning, Python, Random Forest, Forest, Machine, Data"
95,Walkin Drive_ Data Scientist (GENAI)_12th April 25_ Noida Location,Hexaware Technologies,Hybrid - Noida,4-9 Yrs,"genAI, Natural Language Processing, GenerativeAI, Transformers, Python, Data scientist, Langchain, Cloud Services"
96,Data Scientist & Gen AI Consultant,SAP,Gurugram,10-15 Yrs,"Business process, System architecture, Cloud computing, GIT, Consulting, Open source, Analytics, Ariba"
97,Senior Machine Learning Engineer / Data Scientist,Harmony Data Integration Technologies,Mohali,5-10 Yrs,"Machine Learning, Data Science, Engineering, Ultralytics YOLO, PyTorch, OpenCV, Vertex AI, CI/CD"
98,Senior Machine Learning Engineer / Data Scientist,Harmony Data Integration Technologies,Mohali,5-7 Yrs,"Machine Learning, Data Science, Ultralytics YOLO, PyTorch, OpenCV, Vertex AI, CI/CD, Model Development"
99,Data Scientist,MNC IT Consullting firm,Delhi / NCR,4-9 Yrs,"Machine Learning, Python, Data Science, Data Scientist, Natural Language Processing, AWS, SQL, Ml"
100,Data scientists,Mirafra,Bengaluru,8-10 Yrs,"Data science, Data analysis, Data scientists, machine learning, statistical analysis, data collection, Analysis, Collections"
101,Data Scientist - NLP/Gen AI,Tiger Analytics,"Hyderabad, Chennai, Bengaluru",4-8 Yrs,"Data Science, Gen AI, Python, NLP, RAG, Bert, LLM, Gen"
102,Data Scientist - Gen AI,Tiger Analytics,"Hyderabad, Chennai, Bengaluru",4-7 Yrs,"Data scientist, Gen AI, RAG, LLM, Python, Data Science, Generative AI, ChatGPT"
103,Data Scientist,Infiniti Research,Hybrid - Bengaluru,4-8 Yrs,"Data Science, Retail Analytics, Machine Learning, Python, SQL, Machine, Data, Science"
104,Data Scientist,Valuelabs,"Indore, Hyderabad, Bengaluru",8-13 Yrs,"Data Science, GenAI, Generative AI, Artificial Intelligence, LLM, Natural Language Processing, Python, Data"
105,Data Scientist,Leading Client,Bengaluru,3-8 Yrs,"Data Science, data management, data analysis, Data Scientist, data research, Analysis, Management, Data"
106,Data Scientist,Leading Client,Bengaluru,2-7 Yrs,"Data Science, GenAI, PyTorch, natural language processing, Langchain, ChatGPT, HuggingFace, FastAPI"
107,Data Scientist,Aventior Digital,Pune,3-6 Yrs,"Data Science, Artificial Intelligence, Computer Vision, Machine Learning, Computer, Vision, Intelligence, Data"
108,Data Scientist,GKM It,Udaipur(Shobhagpura),3-7 Yrs,"Data Science, Machine Learning, Deep Learning, Python, SQL, Tensorflow, Machine, Data"
109,Data Scientist,Vakilsearch,Chennai,4-8 Yrs,"Data Science, Data Scientist, Artificial Intelligence, Data Management, Data Visualization, Data Analytics, Machine Learning, Statistics"
110,Data Scientist,JLL,Gurugram,3-7 Yrs,"Cloud computing, Data analysis, Data management, Analytical, Machine learning, Data quality, Investment management, commercial real estate"
111,Forecasting Data Scientist,Mondelez,Remote,3-7 Yrs,"Business process, Data analysis, C++, Manager Quality Assurance, Coding, Javascript, FMCG, Data mining"
112,Data Scientist,Pitney Bowes (PBI),Noida,3-4 Yrs,"Computer science, C++, Operations research, Data management, Analytical, Machine learning, Data mining, Business intelligence"
113,Data Scientist,Celebal Technologies,,,"Classical Machine Learning, Deep Learning, Time Series, Tensorflow, Ann, Pyspark, Cnn, Generative Ai"
114,Data Scientist - Financial Crime & Compliance Model,Crisil,"Hyderabad, Chennai",2-4 Yrs,"hive, scikit-learn, numpy, financial services, sql, cloud, data extraction, tensorflow"
115,Hiring - Data Scientist - Columbus Global - Hyderabad,Columbus Global,Hybrid - Hyderabad/Secunderabad,6-8 Yrs,"Python, Data Science, Pyspark, Gen AI, Artificial Intelligence, Hadoop, Azure Machine Learning, Machine Learning"
116,Data Scientist,Customer Centria,Mumbai (All Areas),3-4 Yrs,"SQL, Python, Predictive Modeling, marketing analytics, Customer Analytics, Data, Predictive, Marketing"
117,Data Scientist,Crisil,"Hyderabad, Chennai",8-13 Yrs,"Data analysis, GIT, Version control, Machine learning, Cloud, power bi, data visualization, Financial services"
118,Data Scientist,Phonepe,Bengaluru,0-7 Yrs,"Computer science, Computer vision, Version control, GIT, Analytical, Machine learning, Data processing, Financial services"
119,Senior Data Scientist (Artificial Intelligence Machine Learning),FIS,Hybrid - Pune,4-6 Yrs,"Data Science, Artificial Intelligence, Machine Learning, Intelligence, Machine, Data, Science, Senior"
120,"Data Scientist, Advanced",Antuit,Bengaluru,8-12 Yrs,"Computer science, Automation, Version control, Coding, GCP, Machine learning, Workflow, Monitoring"
121,Data Scientist,Rmsi,Noida,3-5 Yrs,"Data Science, climate, Machine Learning, Machine, Data, Science"
122,Data Scientist,Analytical Wizard,Hybrid - Bengaluru,1-3 Yrs,"Healthcare Analytics, Market Mix Modelling, Patient Analytics, Python, SQL, Patient care, Data, Healthcare"
123,Data Scientist,Acenet,"Pune, Gurugram, Bengaluru",3-5 Yrs,"Supply chain, Simulation, Machine learning, Healthcare, Analytics, Financial services, SQL, Python"
124,Data Scientist - Gen AI,XA Group,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-6 Yrs,"Automation, Backend, Product engineering, orchestration, Debugging, Machine learning, System design, Transformers"
125,Data Scientist,Applied Data Finance,"Hyderabad, Chennai, Bengaluru",1-3 Yrs,"python, Power BI, mysql, Tableau, machine learning, SQL, Bi, Machine"
126,RGM Data Scientist,Acenet,"Pune, Gurugram, Bengaluru",5-8 Yrs,"Supply chain, Data analysis, Analytical, Demand forecasting, Healthcare, Business strategy, Fund raising, consumer goods"
127,Data Scientist,Innominds Software,"Hyderabad, Pune, Bengaluru",4-9 Yrs,"Generative AI, Artificial Intelligence, rag, Machine Learning, AWS, Data Science, Python, Data"
128,Data Scientist,Siemens Healthcare,Bengaluru,8-13 Yrs,"Supply chain management, Operations research, data science, Time series analysis, Analytical, Machine learning, Mathematics, Management"
129,Data Scientist - Gen AI VBA,Ltimindtree,"Hybrid - Hyderabad, Pune, Bengaluru",3-5 Yrs,"Adobe Acrobat, Generative AI, Prompt Engineer, VBA, Python, Advanced Excel, Gen, Excel"
130,Data Scientist(GEN AI LLM),Course5 Intelligence,"Hybrid - Gurugram, Bengaluru, Mumbai (All Areas)",2-5 Yrs,"Generative Ai, LLM, Python, Fine Tuning, Deployment, Model Development, Data, Performance"
131,Data Scientist - Gen AI,Ltimindtree,"Hybrid - Hyderabad, Pune, Bengaluru",6-8 Yrs,"Generative AI, PyTorch, RAG, LLM, Python, Gen, Data, Artificial Intelligence"
132,Data Scientist,Rarr Technologies,"Kolkata, Hyderabad, Bengaluru",8-12 Yrs,"Azure Cloud, Aiml, Machine Learning, Microsoft Azure, Machine, Cloud, Data"
133,Data Scientist - Gen AI,Xpress Automation,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-6 Yrs,"Automation, Backend, Product engineering, orchestration, Debugging, Machine learning, System design, Transformers"
134,Data Scientist,Nityo Infotech,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",13-18 Yrs,"Computer science, Cloud computing, C++, Analytical, Machine learning, SCALA, data privacy, data visualization"
135,Data scientist -1,Rarr Technologies,Bengaluru,1-2 Yrs,"Computer science, Analytical skills, Computer vision, deep learning, data science, spark, Machine learning, big data"
136,Data Scientist,Austere Systems,"Pune, Gurugram, Bengaluru",8-12 Yrs,"Bigquery, Ab Testing, Machine Learning, SQL, Python, GCP, Software testing, Machine"
137,Data Scientist,Leading Client,Gurugram,3-5 Yrs,"Power BI, Data Science, data management, Data Analysis, Data Collection, Data Modeling, data visualization, Modeling"
138,Data Scientist,Leading Client,Mumbai,3-8 Yrs,"Data Science, SAS, Machine Learning, Python, Science, Machine, Data"
139,Urgently Hiring - Fraud Data Scientist,Talent Sketchers,"Hyderabad, Bengaluru",3-8 Yrs,"Data Scientist, regulatory compliance, Data Analytics, risk assessment methodologies, fraud detection software, risk management, fraud prevention, SQL"
140,Data Scientist,Rhohyve Ai Labs,"Pune, Bengaluru, Delhi / NCR",2-5 Yrs,"Data Science, Time Series Analysis, Statistical Modeling, Data Mining, Machine Learning, Python, Analysis, Modeling"
141,Data Scientist,Product Based,"Hyderabad, Pune",8-12 Yrs,"Data Science, Statistical Modeling, Machine Learning, Python, Model Building, Model Development, Machine, Science"
142,Opening For Data Scientist | MNC,Service based Top B2C/B2B MNC in Analytics Domain,"Hybrid - Pune, Bengaluru, Delhi / NCR",6-10 Yrs,"data science, python, Natural Language Processing, Neural Networks, Computer Vision, Machine Learning, Deep Learning, sql"
143,Hiring For Data Scientist-Tech M-PAN India,Tech M,"Kolkata, Chennai, Bengaluru",5-10 Yrs,"Data Science, Azure Machine Learning, Data Bricks, Microsoft Azure, Bricks, Machine learning, Science, Machine"
144,Data Scientist,Opportunity with the Strategy & Consulting wing of Top MNC,"Hybrid - Pune, Gurugram, Bengaluru",4-9 Yrs,"Data Science, Supply Chain Analytics, Artificial Intelligence, Data Analytics, Machine Learning, Supply Chain, Machine, Science"
145,"Data Scientist I, FinTech",Uber,Hyderabad,0-5 Yrs,"python, modeling, natural language processing, forecasting, neural networks, anomaly detection, data pipeline, machine learning"
146,Data Analyst/Data Scientist,Turing Global India,Remote,0-5 Yrs,"Computer science, deep learning, data science, Coding, Artificial Intelligence, Machine learning, Data processing, Data Analyst"
147,Data Scientist,Myntra,Bengaluru,0-5 Yrs,"Supply chain, Computer vision, Operations research, data science, Neural networks, Machine learning, Data structures, Natural language processing"
148,Data Scientist,Metlife,Hyderabad,4-8 Yrs,"Predictive Modeling, Machine Learning, Deep Learning, Data Science, Statistical Modeling, Tensorflow, Logistic Regression, Decision Tree"
149,Data Scientist,Anantara Solutions,Remote,3-8 Yrs,"Supervised Learning, Glm, Unsupervised Learning, Machine Learning, Random Forest, Forest, Supervision, Machine"
150,Data Scientist - Pytorch/ TensorFlow,UPS Supply Chain Solutions (UPS SCS),Hybrid - Mumbai,3-6 Yrs,"Pytorch, Java, C++, R, Cloud-AI technologies, TensorFlow, SQL, Python"
151,Data Scientist,Vitric Business Solutions,Pune(Viman Nagar),9-14 Yrs,"Data Science, Gen AI, Natural Language Processing, Machine Learning, Deep Learning, People Management, Stakeholder Management, Python"
152,Data Scientist,Euclid Innovations,Hyderabad,8-13 Yrs,"Version control, Machine learning, Data processing, Deployment, Management, Fraud detection, Financial services, Monitoring"
153,Data Scientist,Virtual Tech Gurus,Remote,4-8 Yrs,"python, modeling, natural language processing, mathematics, neural networks, predictive, machine learning, data engineering"
154,Data Scientist,Qylis Cloud Data & Cyber Security Services,Hyderabad(Gachibowli),5-7 Yrs,"Fast Api, LLM, Python, Azure Cloud, SQL, API, Microsoft Azure, Cloud"
155,Requirement For Data Scientist,Hetero Healthcare,Hyderabad,4-6 Yrs,"data scientist, Implement and maintain predictive models like CLTV prediction, propensity modeling"
156,Data Scientist,Deets Digital,Ahmedabad,2-5 Yrs,"Machine Learning, Tensorflow, Pandas, Scikit-Learn, Python, Machine, Data"
157,Data Scientist,Tencys Systems,Bhubaneswar,3-7 Yrs,"Azure Machine Learning, Data Science, Operational Efficiency, Azure ML SDK, Microsoft Azure, Ml, Machine learning, Science"
158,Data Scientist - ML / AI - RCM Knowledge,4D Global,Chennai(Ekkaduthangal),3-8 Yrs,"Artificial Intelligence, Machine Learning, Data Science, Javascript, RCM, Python, Ml, Intelligence"
159,Data Scientist - Recommender Systems,DAZN,Hyderabad,3-8 Yrs,"Recommender Systems, LLM, Ai Algorithms, Data, Algorithms, Artificial Intelligence, System"
160,Data Scientist - Contract,World Wide Technology,Remote,5-10 Yrs,"Data Science, deep learning, data analysis, Ai Techniques, machine learning, python, Data, Contracts"
161,Data Scientist - Pharma Domain (Time-Series Forecasting),Knowledge Foundry,Pune,5-8 Yrs,"Data Science, Time-Series Forecasting, Statistical Modeling, Time Series, Clinical Data, Predictive Modeling, Forecasting Model, Statistics"
162,Data Scientist,Callaway Digital Technologies,Hybrid - Hyderabad,6-9 Yrs,"Statistical Modeling, Machine Learning, Python, Data Visualization, Azzure, R Program, SQL, Statistics"
163,Data Scientist,Vionsys It Solutions India,Pune,2-3 Yrs,"NoSQL, Machine learning, SCALA, Data quality, data visualization, Forecasting, Monitoring, SQL"
164,Data Scientist IV - Python/LLM,Sadup Soft,Hyderabad,6-8 Yrs,"Python, Data Science, BigQuery, Big Query analytics, Data Scientist, Data Management, Jupyter, LLM"
165,Data Scientist - Machine Learning,EzeiaTech,Gurugram,2-6 Yrs,"Machine Learning, Data Science, Statistical Modeling, Data Visualization, Data Visualization Tools, AWS, Python, SQL"
166,Data Scientist,Comscore,Pune,2-4 Yrs,"Unix, Computer science, E-learning, Operations research, Linux, Process improvement, Analytical, Troubleshooting"
167,Data Scientist,Nupeak It Solutions Llp,Ahmedabad,3-8 Yrs,"SAS, data science, Analytical, Troubleshooting, Statistics, Science, Analytics, Data"
168,Data Scientist,Policybazaar,Gurugram,3-8 Yrs,"Data Science, NLP, BERT, Machine Learning, Natural language processing, Machine, Science, Data"
169,Data Scientist,Crafsol Technology Solutions,"Hybrid - Mumbai, Hyderabad, Pune",3-8 Yrs,"ML algorithms, Kubeflow, NLTK, Apache Airflow, PyTorch, NLP Libraries, Genism, OpenAI libraries"
170,Data Scientist,Aspire Softserv,Ahmedabad,2-5 Yrs,"Python, Data Science, Ai Algorithms, Algorithms, Artificial Intelligence, Aiml, Machine Learning, Ml Algorithms"
171,Data Scientist,Data Radian Technologies,Remote,5-10 Yrs,"Inference, Casual, SQL, Data"
